City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Abu Zabad,SD,2022-10-06 06:57:38,12.35,29.25,83.01,57,99,3.56
68,Bambous Virieux,MU,2022-10-06 06:57:39,-20.3428,57.7575,77.25,65,40,13.8
69,Tarakan,ID,2022-10-06 06:57:39,3.3,117.6333,87.3,66,40,4.61
70,Plouzane,FR,2022-10-06 06:57:39,48.3833,-4.6167,51.85,97,75,5.75
71,Saint-Philippe,RE,2022-10-06 06:57:40,-21.3585,55.7679,78.39,66,4,14.12
72,Mataura,NZ,2022-10-06 06:57:40,-46.1927,168.8643,45.48,69,91,7.29
73,San Patricio,US,2022-10-06 06:57:41,28.017,-97.5169,76.84,73,24,4.72
74,Talcahuano,CL,2022-10-06 06:57:41,-36.7167,-73.1167,53.28,76,100,4.61
75,Tyukhtet,RU,2022-10-06 06:57:42,56.5389,89.3011,38.3,76,99,9.06
76,Naze,JP,2022-10-06 06:57:42,28.3667,129.4833,81.52,68,70,12.41
77,Lubao,PH,2022-10-06 06:57:42,14.9167,120.55,92.91,62,99,11.79
78,Araci,BR,2022-10-06 06:57:43,-11.3333,-38.9667,72.34,82,100,9.86
79,College,US,2022-10-06 06:55:08,64.8569,-147.8028,37.08,85,43,3.33
80,Bengkulu,ID,2022-10-06 06:57:43,-3.8004,102.2655,80.53,83,100,6.44
81,Lebu,CL,2022-10-06 06:57:44,-37.6167,-73.65,50.56,96,100,15.01
82,Alberton,CA,2022-10-06 06:57:44,46.8168,-64.0654,55.31,94,16,7.27
83,Kodiak,US,2022-10-06 06:57:45,57.79,-152.4072,53.11,82,100,12.66
84,Pacific Grove,US,2022-10-06 06:57:45,36.6177,-121.9166,59.02,96,100,0.0
85,Tual,ID,2022-10-06 06:57:46,-5.6667,132.75,82.96,79,100,12.37
86,Carthage,TN,2022-10-06 06:57:46,36.8611,10.3316,71.13,88,20,2.3
87,Hasaki,JP,2022-10-06 06:57:47,35.7333,140.8333,54.28,86,100,24.45
88,Dubbo,AU,2022-10-06 06:57:07,-32.25,148.6167,66.33,72,100,8.05
89,Tymovskoye,RU,2022-10-06 06:57:47,50.8456,142.655,36.55,75,100,7.4
90,Thompson,CA,2022-10-06 06:57:48,55.7435,-97.8558,28.56,69,100,8.05
91,Lorengau,PG,2022-10-06 06:57:48,-2.0226,147.2712,84.18,73,18,10.4
92,Esperance,AU,2022-10-06 06:57:48,-33.8667,121.9,60.64,66,55,25.61
93,Umm Lajj,SA,2022-10-06 06:57:49,25.0213,37.2685,93.87,34,0,3.27
94,Paamiut,GL,2022-10-06 06:58:49,61.994,-49.6678,34.09,66,80,7.81
95,Kysyl-Syr,RU,2022-10-06 06:58:50,63.8986,122.7617,28.08,66,100,11.27
96,Axim,GH,2022-10-06 06:58:50,4.8699,-2.2405,76.44,87,16,6.87
97,Yerbogachen,RU,2022-10-06 06:58:50,61.2767,108.0108,37.17,53,74,6.42
98,Portland,US,2022-10-06 06:58:51,45.5234,-122.6762,60.69,92,35,1.99
99,Padang,ID,2022-10-06 06:58:52,-0.9492,100.3543,86.05,76,96,6.06
100,Guerrero Negro,MX,2022-10-06 06:58:52,27.9769,-114.0611,68.52,85,0,8.52
101,Hami,CN,2022-10-06 06:58:53,42.8,93.45,64.85,24,0,7.16
102,Bredasdorp,ZA,2022-10-06 06:58:53,-34.5322,20.0403,62.08,54,100,14.25
103,Hobart,AU,2022-10-06 06:58:54,-42.8794,147.3294,55.26,83,75,14.97
104,Henties Bay,NA,2022-10-06 06:58:54,-22.116,14.2845,56.89,80,88,6.24
105,Cabo Rojo,PR,2022-10-06 06:58:54,18.0866,-67.1457,78.98,84,24,4.85
106,Necochea,AR,2022-10-06 06:58:55,-38.5473,-58.7368,53.04,83,100,10.78
107,Kutum,SD,2022-10-06 06:58:55,14.2,24.6667,81.45,21,100,16.02
